institution,state,region,control,endowment_2025,endowment_2024,pct_change,log_endowment,enrollment,log_enrollment,founded,inst_age,Rank
Harvard University,MA,Northeast,Private,55.67,51.98,7.109999999999999,4.019441402195416,23000,10.043249494911286,1636,389,1
University of Texas System,TX,South,Public,27.17,24.74,9.81,3.3021134234382563,NA,NA,NA,NA,1
Yale University,CT,Northeast,Private,44.15,41.44,6.53,3.787592927049969,14000,9.546812608597396,1701,324,2
Texas A&M University,TX,South,Public,22.23,20.38,9.07,3.101442727976105,74000,11.211820372186306,1876,149,2
Stanford University,CA,West,Private,40.790000000000006,37.63,8.38,3.708436953329467,17000,9.740968623038354,1885,140,3
University of Michigan,MI,Midwest,Public,21.2,19.17,10.61,3.054001181677967,48000,10.778956289890028,1817,208,3
Princeton University,NJ,Northeast,Private,36.42,34.05,6.94,3.595118074299462,8500,9.047821442478408,1746,279,4
University of California,CA,West,Public,20.150000000000002,19.1,5.46,3.003204288392692,285000,12.560244459250788,1868,157,4
Massachusetts Institute of Technology,MA,Northeast,Private,27.37,24.57,11.370000000000001,3.309447523052588,11500,9.350102314351341,1861,164,5
University of Virginia,VA,South,Public,11.229999999999999,10.219999999999999,9.91,2.4185887687503516,25000,10.126631103850338,1819,206,5
University of Pennsylvania,PA,Northeast,Private,24.810000000000002,22.35,11.01,3.21124679770371,28000,10.239959789157341,1740,285,6
Ohio State University,OH,Midwest,Public,8.62,7.930000000000001,8.68,2.1540850846756014,60000,11.002099841204238,1870,155,6
University of Notre Dame,IN,Midwest,Private,20.09,17.9,12.26,3.000222178826843,13000,9.472704636443673,1842,183,7
University of Texas at Austin,TX,South,Public,6.49,6.08,6.76,1.8702625307159986,51000,10.839580911706463,1883,142,7
Columbia University,NY,Northeast,Private,15.92,14.78,7.68,2.767576180416237,35000,10.46310334047155,1754,271,8
University of Minnesota & Foundations,MN,Midwest,Public,6.45,5.94,8.65,1.864080130807681,NA,NA,NA,NA,8
Northwestern University,IL,Midwest,Private,15.17,14.209999999999999,6.74,2.719319793360441,21000,9.95227771670556,1851,174,9
University of North Carolina at Chapel Hill,NC,South,Public,6.22,5.73,8.62,1.827769906751088,NA,NA,NA,NA,9
Johns Hopkins University,MD,South,Private,13.729999999999999,13.06,5.14,2.6195832197798796,30000,10.308952660644293,1876,149,10
University of Pittsburgh,PA,Northeast,Public,6.1499999999999995,5.8,6.02,1.8164520818184264,NA,NA,NA,NA,10
Washington University in St. Louis,MO,Midwest,Private,13.3,11.98,11,2.5877640352277083,16000,9.680344001221918,1853,172,11
Pennsylvania State University,PA,Northeast,Public,5.06,4.7700000000000005,6.14,1.6213664832993742,90000,11.407564949312402,1855,170,11
Duke University,NC,South,Private,12.32,11.89,3.6,2.511223958105374,17000,9.740968623038354,1838,187,12
