Rank,Institution,State,FY2025endowment(billions USD),FY2024endowment(billions USD),Change(%),control
1,Harvard University,MA,$55.67,$51.98,+7.11%,Private
2,Yale University,CT,$44.15,$41.44,+6.53%,Private
3,Stanford University,CA,$40.79,$37.63,+8.38%,Private
4,The Trustees of Princeton University,NJ,$36.42,$34.05,+6.94%,Private
5,Massachusetts Institute of Technology,MA,$27.37,$24.57,+11.37%,Private
6,The University of Pennsylvania,PA,$24.81,$22.35,+11.01%,Private
7,University of Notre Dame,IN,$20.09,$17.90,+12.26%,Private
8,Columbia University in the City of New York,NY,$15.92,$14.78,+7.68%,Private
9,Northwestern University,IL,$15.17,$14.21,+6.74%,Private
10,Johns Hopkins University,MD,$13.73,$13.06,+5.14%,Private
11,Washington University in St. Louis,MO,$13.30,$11.98,+11.00%,Private
12,Duke University,NC,$12.32,$11.89,+3.60%,Private
13,Emory University,GA,$12.00,$11.04,+8.66%,Private
14,Cornell University,NY,$11.75,$10.66,+10.23%,Private
15,Vanderbilt University,TN,$10.86,$10.25,+5.95%,Private
16,University of Chicago,IL,$10.62,$10.10,+5.11%,Private
17,University of Southern California,CA,$9.03,$8.15,+10.84%,Private
18,Dartmouth College,NH,$8.96,$8.27,+8.30%,Private
19,Rice University,TX,$8.50,$8.06,+5.37%,Private
20,Brown University,RI,$7.28,$6.72,+8.33%,Private
21,New York University,NY,$7.28,$6.55,+11.15%,Private
22,California Institute of Technology,CA,$4.32,$4.14,+4.16%,Private
23,Carnegie Mellon University,PA,$4.29,$4.00,+7.26%,Private
24,Boston College,MA,$4.24,$3.78,+12.13%,Private
25,Boston University,MA,$4.02,$3.54,+13.56%,Private
26,Georgetown University,DC,$3.95,$3.64,+8.60%,Private
27,Williams College,MA,$3.93,$3.66,+7.54%,Private
28,Amherst College,MA,$3.90,$3.55,+9.83%,Private
29,University of Richmond,VA,$3.49,$3.25,+7.67%,Private
30,University of Rochester,NY,$3.24,$2.99,+8.52%,Private
31,Pomona College,CA,$3.22,$2.99,+7.65%,Private
32,Wellesley College,MA,$3.19,$3.01,+6.00%,Private
33,Bowdoin College,ME,$2.92,$2.58,+12.90%,Private
34,Texas Christian University,TX,$2.85,$2.68,+6.65%,Private
35,Grinnell College,IA,$2.85,$2.67,+6.61%,Private
36,Swarthmore College,PA,$2.84,$2.73,+4.19%,Private
37,The George Washington University,DC,$2.81,$2.64,+6.55%,Private
38,Smith College,MA,$2.71,$2.56,+5.67%,Private
39,Tufts University,MA,$2.71,$2.53,+6.84%,Private
40,The Rockefeller University,NY,$2.61,$2.42,+7.76%,Private
41,Kentucky University,KY,$2.48,$2.18,+10.15%,Private
42,Tulane University,LA,$2.47,$2.27,+8.52%,Private
43,Southern Methodist University,TX,$2.34,$2.12,+10.25%,Private
44,Syracuse University,NY,$2.27,$2.10,+8.25%,Private
45,Washington and Lee University,VA,$2.19,$2.04,+7.29%,Private
46,Baylor University,TX,$2.18,$2.09,+4.10%,Private
